name,slug,hexReference,description,relatedProductSlugs
Rojizo Amagá,rojizo-amaga,#7C482C,"Color base de la arcilla local. Tonalidad cálida que define la identidad del territorio.",ladrillo-f-pv;ladrillo-f-pv-rayado-vertical
Salmón Suroeste,salmon-suroeste,#F99A91,"Gama clara, asociada a cocciones controladas. Ideal para fachadas luminosas.",ladrillo-toscano-claro
Tierra Sinifaná,tierra-sinifana,#472410,"Tono profundo de alta cocción. Elegancia y sobriedad en obra.",ladrillo-macizo;ladrillo-toscano-oscuro
Flameado Pueblo Viejo,flameado-pueblo-viejo,#EF5843,"Destonificaciones naturales del horno. Cada lote con carácter único.",piso-rustico-barro
Carbón,carbon,#1A1A1A,"Post-cocción reductora cuando aplica. Contraste dramático en detalles.",piezas-especiales
Blanco antiguo,blanco-antiguo,#FFFBF9,"Engobe blanco artesanal para acabados patrimoniales y contemporáneos.",piezas-especiales
