title,slug,type,description,order
Ficha técnica Ladrillo F-PV — NTC 4205,ficha-ladrillo-f-pv-ntc,NTC,"Dimensiones, tolerancias, resistencia, absorción y recomendaciones de instalación bajo NTC 4205-2 y 4205-3.",1
Catálogo general Clay House,catalogo-general-clayhouse,Catálogo,"Catálogo digital de productos para especificadores y estudios de arquitectura.",2
Certificado de ensayos de laboratorio,certificado-ensayos-laboratorio,Certificado,"Resultados de resistencia a compresión, absorción de agua y ensayos normativos.",3
Detalle constructivo — juntas y aparejo,detalle-constructivo-juntas,Detalle constructivo,"Recomendaciones de juntas, morteros y aparejo para fachada en ladrillo a la vista.",4
